,Media Sources,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
121,@CBSNews,Sat Jul 14 21:59:55 +0000 2018,"The ""Baby Trump"" blimp flew over Edinburgh and demonstrators staged a protest picnic outside of President Trump's S… https://t.co/8K1pmFaXvR",-0.25,0.0,0.895,0.105,21
122,@CBSNews,Sat Jul 14 21:39:38 +0000 2018,Angelique Kerber won her first Wimbledon championship after defeating Serena Williams https://t.co/POg58meXbC https://t.co/j14aaoTJkl,0.6124,0.344,0.521,0.135,22
123,@CBSNews,Sat Jul 14 21:19:37 +0000 2018,"""The biggest tragedy we've had"": A jaguar escaped from its habitat and killed six animals at the Audubon Zoo in New… https://t.co/5XP8PAp3Vl",-0.872,0.0,0.681,0.319,23
124,@CBSNews,Sat Jul 14 20:40:10 +0000 2018,WATCH: iPhone records 450-foot drop— and survives https://t.co/aYIcGo5zvO https://t.co/cXj75nXHCs,0.0,0.0,1.0,0.0,24
125,@CBSNews,Sat Jul 14 20:38:09 +0000 2018,"RT @CBSEveningNews: @jeffglor @FaceTheNation After the president returns from Europe, he will sit down with @jeffglor for a follow-up inter…",0.0,0.0,1.0,0.0,25
126,@CBSNews,Sat Jul 14 20:36:45 +0000 2018,NEW: @jeffglor interviews President Trump in Scotland ahead of Monday’s summit with Russian President Vladimir Puti… https://t.co/iMWEy425WE,0.0,0.0,1.0,0.0,26
127,@CBSNews,Sat Jul 14 20:31:39 +0000 2018,RT @CBSEveningNews: NEW: @jeffglor interviews President Trump in Scotland ahead of Monday’s summit with Russian President Vladimir Putin; w…,0.0,0.0,1.0,0.0,27
128,@CBSNews,Sat Jul 14 20:20:48 +0000 2018,"Secretary of State Mike Pompeo: ""I am confident that President Trump's meeting with Vladimir Putin will put America… https://t.co/LotkrKi788",0.4939,0.151,0.849,0.0,28
129,@CBSNews,Sat Jul 14 19:59:37 +0000 2018,The Israeli military carried out its largest daytime airstrike campaign in Gaza since the 2014 war on Saturdayhttps… https://t.co/xONp2ZYaoE,-0.5994,0.0,0.822,0.178,29
130,@CBSNews,Sat Jul 14 19:40:15 +0000 2018,About 100 supporters of President Trump protested outside of the U.S. Embassy in London on Saturday. Two people --… https://t.co/TGiSGDWv2S,0.34,0.129,0.804,0.067,30
131,@CBSNews,Sat Jul 14 19:19:32 +0000 2018,A Martha's Vineyard bus driver has been fired for telling a man he wasn't picked up because he's black… https://t.co/001kPmquQi,-0.5574,0.0,0.825,0.175,31
132,@CBSNews,Sat Jul 14 18:59:53 +0000 2018,"Mexico is pushing the U.S. to quickly reunite separated migrant families and prioritize ""the well-being and rights… https://t.co/sgbMdSWnOc",0.0,0.0,1.0,0.0,32
133,@CBSNews,Sat Jul 14 18:39:33 +0000 2018,The rise of delivery is changing every aspect of the restaurant business. See what's on the menu for the future… https://t.co/Tf8mhQ1zqR,0.0,0.0,1.0,0.0,33
134,@CBSNews,Sat Jul 14 18:19:43 +0000 2018,LIVE UPDATES: Protests in Scotland and arrests in London follow President Trump's visits https://t.co/cWJfkFoH2s https://t.co/UWMRWS2lEr,-0.5859,0.0,0.73,0.27,34
135,@CBSNews,Sat Jul 14 18:00:27 +0000 2018,"The ""Trump Baby"" balloon was transported overnight from London to Edinburgh, Scotland, where thousands are protesti… https://t.co/S7CCcyDCuw",0.0,0.0,1.0,0.0,35
136,@CBSNews,Sat Jul 14 17:40:01 +0000 2018,"From Eisenhower to Trump, take a look at Queen Elizabeth's most memorable moments with U.S. presidents… https://t.co/3HKo2UexrS",0.0,0.0,1.0,0.0,36
137,@CBSNews,Sat Jul 14 17:19:54 +0000 2018,Trump and Putin are expected to talk about the nuclear arms race between their nations during their summit in Helsi… https://t.co/FTREeBvZ4a,0.0,0.0,1.0,0.0,37
